20140428105342 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2014-04-28T10:54:03Z        2736        2351          385     19.25(19.25)     40(40)             0            49        97341        131328         1.97         194           7
2014-04-28T10:54:23Z       27111       26245          801      20.8(20.02)   549(294)             0            50       285982        352768        14.24        2333          15
2014-04-28T10:54:43Z       34326       33407          852       2.55(14.2)   217(268)             0            50       306850        353664        18.16        2333          16
2014-04-28T10:55:03Z       45224       44167          986       6.7(12.32)   345(288)             0            50       192376        401600        16.51        2334          19
2014-04-28T10:55:23Z       54195       52935         1183      9.85(11.83)   356(301)             0            50        49884        382208         16.6        3399          20
2014-04-28T10:55:43Z       63495       62049         1362      8.95(11.35)   291(300)             0            50       199526        368320        18.59        4101          20
2014-04-28T10:56:03Z       74238       72550         1593     11.55(11.38)   336(305)             0            50       157969        342336        20.25        5015          21
2014-04-28T10:56:23Z       82708       80728         1872      13.95(11.7)   373(313)             0            50       169743        331840        19.01        5882          22
2014-04-28T10:56:43Z       86163       83852         2186      15.7(12.14)   299(312)             0            50       245433        318464        20.85        6345          22
2014-04-28T10:57:03Z       93963       91308         2514      16.4(12.57)   393(320)             0            50       150021        299392         20.6        6841          24
2014-04-28T10:57:23Z       97419       94449         2813     14.95(12.79)   357(323)             0            50       110923        283456        19.66        7029          25
2014-04-28T10:57:43Z      100830       97491         3158     17.25(13.16)   344(325)             0            50       146738        271936        19.93        7147          25
2014-04-28T10:58:03Z      107508      103926         3389     11.55(13.03)   284(322)             0            50       103888        258560        24.55        7569          26
2014-04-28T10:58:23Z      113767      109819         3738     17.45(13.35)   369(325)             0            50       171238        234176        19.26        7875          27
2014-04-28T10:58:43Z      117146      112797         4121     19.15(13.74)   294(323)             0            50       145284        216064        20.41        8016          27
2014-04-28T10:59:03Z      124828      120114         4469      17.4(13.97)   376(326)             0            50        81547        207872         18.7        8072          28
2014-04-28T10:59:23Z      128153      123087         4805      16.8(14.13)   322(326)             0            50       135004        193408        20.28        8217          29
2014-04-28T10:59:43Z      130800      125465         5068     13.15(14.08)   284(324)             0            50       112966        180672        26.03        8264          29
2014-04-28T11:00:03Z      136370      130775         5321        12.65(14)   283(322)             0            50       143257        162112        27.33        9285          30
2014-04-28T11:00:23Z      140077      134261         5538     10.85(13.84)   374(324)             0            50       146678        158720        23.59        9285          31
2014-04-28T11:00:43Z      144894      138908         5702       8.2(13.58)   199(318)             0            50        99162        152768        31.39       11934          31
2014-04-28T11:01:03Z      146442      140290         5864       8.1(13.33)   377(321)             0            50       102106        146624        35.56       11934          31
2014-04-28T11:01:23Z      148820      142419         6108      12.2(13.28)   352(322)             0            50       120367        136384        32.36       11934          31
2014-04-28T11:01:43Z      153056      146396         6358      12.5(13.25)   364(324)             0            50       104541        136448        30.06       14216          32
2014-04-28T11:02:03Z      155315      148402         6601      12.15(13.2)   252(321)             0            50       107284        131136        31.94       14216          32
2014-04-28T11:02:23Z      160818      153634         6859      12.9(13.19)   312(321)             0            50       110877        139392        27.08       16586          32
2014-04-28T11:02:43Z      163480      155986         7152     14.65(13.24)   241(318)             0            50       122313        139584        26.48       16586          33
2014-04-28T11:03:03Z      166644      158831         7454      15.1(13.31)   379(320)             0            50       121613        137024        26.75       16586          33
2014-04-28T11:03:23Z      172059      163964         7728      13.7(13.32)   291(319)             0            50       122199        162240        26.49       18623          33
2014-04-28T11:03:43Z      174322      165856         8088        18(13.48)   281(318)             0            50       149652        153856        25.86       18623          34
2014-04-28T11:04:03Z      178629      169902         8343     12.75(13.46)   348(319)             0            50       135223        152320        30.26       20978          34
2014-04-28T11:04:23Z      181052      171983         8676     16.65(13.56)   533(326)             0            50       150389        171328        27.47       20978          35
2014-04-28T11:04:43Z      186520      177106         9011     16.75(13.65)   334(326)             0            50       151538        184192         22.6       23487          36
2014-04-28T11:05:03Z      189235      179508         9312     15.05(13.69)   271(324)             0            50       156734        192512        28.17       23487          34
20140428110504 CRAWL WAITING - Pausing - Waiting for threads to finish
2014-04-28T11:05:23Z      190394      180592         9384       3.6(13.41)   181(320)             0            15       152379        193728        97.94       23487          34
2014-04-28T11:05:43Z      190603      180798         9387      0.15(13.04)    14(312)             0            12       120906        191424        264.9       23487          34
2014-04-28T11:06:03Z      190724      180916         9390      0.15(12.69)    11(303)             0             9       128960        191424       331.12       23487          34
2014-04-28T11:06:23Z      190724      180916         9390         0(12.36)     0(295)             0             9       128972        191424       407.54       23487          34
2014-04-28T11:06:43Z      190724      180915         9391      0.05(12.04)   676(305)             0             8       129022        191424        441.5       23487          34
2014-04-28T11:07:03Z      190724      180915         9391         0(11.74)     0(298)             0             8       129030        191424        441.5       23487          34
2014-04-28T11:07:23Z      190724      180915         9391         0(11.45)     0(290)             0             8       129042        191424       481.64       23487          34
2014-04-28T11:07:43Z      190724      180915         9391         0(11.18)     0(283)             0             8       129087        191424       481.64       23487          34
2014-04-28T11:08:03Z      190724      180914         9392      0.05(10.92)  1380(309)             0             7       129111        191424       481.64       23487          34
2014-04-28T11:08:23Z      190724      180914         9392         0(10.67)     0(302)             0             7       129123        191424        529.8       23487          34
